id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,hyperlink
159,EPIC 212297394 b,1365,2.79 Earths,14.611,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7402/epic-212297394-b/
160,EPIC 212297394 c,1365,5.77 Earths,14.611,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7981/epic-212297394-c/
161,EPIC 212424622 b,1996,5.35 Earths,13.441,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7403/epic-212424622-b/
162,EPIC 212499991 b,924,3.19 Earths,13.672,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7404/epic-212499991-b/
163,EPIC 212587672 b,1044,2.13 Earths,12.488,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7405/epic-212587672-b/
164,EPIC 212587672 c,1044,5.99 Earths,12.488,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7985/epic-212587672-c/
165,EPIC 212624936 b,1833,1.87 Earths,13.976,2021,https://exoplanets.nasa.gov/exoplanet-catalog/8019/epic-212624936-b/
166,EPIC 212624936 c,1833,5.9 Earths,13.976,2021,https://exoplanets.nasa.gov/exoplanet-catalog/8014/epic-212624936-c/
167,EPIC 212737443 b,1097,7.2 Earths,14.81,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7440/epic-212737443-b/
168,EPIC 212737443 c,1097,7.7 Earths,14.81,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7441/epic-212737443-c/
169,EPIC 220492298 b,2037,0.937 Earths,13.991,2021,https://exoplanets.nasa.gov/exoplanet-catalog/8020/epic-220492298-b/
170,EPIC 220554210 c,1619,3.19 Earths,14.21,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7406/epic-220554210-c/
171,EPIC 220674823 b,798,8.21 Earths,12.101,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7328/epic-220674823-b/
172,EPIC 220674823 c,798,8.9 Earths,12.101,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7329/epic-220674823-c/
173,EPIC 228836835 b,490,1.37 Earths,16.77,2021,https://exoplanets.nasa.gov/exoplanet-catalog/8013/epic-228836835-b/
174,EPIC 229004835 b,398,10.4 Earths,10.23,2023,https://exoplanets.nasa.gov/exoplanet-catalog/8838/epic-229004835-b/
175,EPIC 246851721 b,1216,3 Jupiters,11.237,2018,https://exoplanets.nasa.gov/exoplanet-catalog/7256/epic-246851721-b/
176,EPIC 248847494 b,1800,13 Jupiters,12.353,2018,https://exoplanets.nasa.gov/exoplanet-catalog/7435/epic-248847494-b/
177,EPIC 249893012 b,1048,8.75 Earths,11.429,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7588/epic-249893012-b/
178,EPIC 249893012 c,1048,14.67 Earths,11.429,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7589/epic-249893012-c/
179,EPIC 249893012 d,1048,10.18 Earths,11.429,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7590/epic-249893012-d/
180,Epsilon Coronae Borealis b,228,6.7 Jupiters,4.12577,2012,https://exoplanets.nasa.gov/exoplanet-catalog/7043/epsilon-coronae-borealis-b/
181,Epsilon Eridani b,10,0.66 Jupiters,3.718,2000,https://exoplanets.nasa.gov/exoplanet-catalog/7042/epsilon-eridani-b/
182,Epsilon Indi A b,12,3.25 Jupiters,4.674,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7511/epsilon-indi-a-b/
183,Epsilon Tauri b,155,7.6 Jupiters,3.523,2006,https://exoplanets.nasa.gov/exoplanet-catalog/7044/epsilon-tauri-b/
184,FU Tauri b,435,16 Jupiters,,2008,https://exoplanets.nasa.gov/exoplanet-catalog/7028/fu-tauri-b/
185,G 264-012 b,52,2.5 Earths,13.078,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7904/g-264-012-b/
186,G 264-012 c,52,3.75 Earths,13.078,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7905/g-264-012-c/
187,G 9-40 b,91,11.7 Earths,13.821,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7545/g-9-40-b/
188,Gaia-1 b,1186,1.68 Jupiters,13.242,2022,https://exoplanets.nasa.gov/exoplanet-catalog/8510/gaia-1-b/
189,Gaia-2 b,683,0.817 Jupiters,11.277,2022,https://exoplanets.nasa.gov/exoplanet-catalog/8511/gaia-2-b/
190,gam1 Leonis b,130,8.78 Jupiters,1.99509,2009,https://exoplanets.nasa.gov/exoplanet-catalog/8674/gam1-leonis-b/
191,Gamma Cephei b,46,9.4 Jupiters,3.23006,2003,https://exoplanets.nasa.gov/exoplanet-catalog/7046/gamma-cephei-b/
192,Gamma Librae b,155,1.02 Jupiters,3.90672,2018,https://exoplanets.nasa.gov/exoplanet-catalog/7272/gamma-librae-b/
193,Gamma Librae c,155,4.58 Jupiters,3.90672,2018,https://exoplanets.nasa.gov/exoplanet-catalog/7273/gamma-librae-c/
194,Gamma Piscium b,135,1.34 Jupiters,3.69252,2021,https://exoplanets.nasa.gov/exoplanet-catalog/8369/gamma-piscium-b/
195,GJ 1002 b,16,1.08 Earths,13.76,2022,https://exoplanets.nasa.gov/exoplanet-catalog/8720/gj-1002-b/
196,GJ 1002 c,16,1.36 Earths,13.76,2022,https://exoplanets.nasa.gov/exoplanet-catalog/8721/gj-1002-c/
197,GJ 1061 b,12,1.37 Earths,12.7,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7591/gj-1061-b/
198,GJ 1061 c,12,1.74 Earths,12.7,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7592/gj-1061-c/
199,GJ 1061 d,12,1.64 Earths,12.7,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7593/gj-1061-d/
